03/01/2018-14:00;25.0;24.9;72.2;23.8
03/01/2018-14:10;24.5;28.9;72.4;23.4
03/01/2018-14:20;24.6;26.7;75.7;23.5
03/01/2018-14:30;24.4;24.7;78.0;23.3
03/01/2018-14:40;24.8;24.8;76.4;23.7
03/01/2018-14:50;25.3;21.9;74.1;24.1
03/01/2018-15:00;25.7;24.0;69.8;24.5
03/01/2018-15:10;25.9;23.1;70.7;24.7
03/01/2018-15:20;25.4;24.7;71.9;24.3
03/01/2018-15:30;25.9;26.5;69.4;24.7
03/01/2018-15:40;26.6;29.0;67.3;25.4
03/01/2018-15:50;26.8;37.1;63.2;25.5
03/01/2018-16:00;26.3;27.9;67.5;25.1
03/01/2018-16:10;25.9;29.1;69.6;24.7
03/01/2018-16:20;25.8;29.2;69.7;24.6
03/01/2018-16:30;25.6;30.9;70.6;24.4
03/01/2018-16:40;25.4;33.8;72.0;24.3
03/01/2018-16:50;25.4;32.3;72.4;24.2
03/01/2018-17:00;26.0;31.6;71.7;24.8
03/01/2018-17:10;25.9;33.8;70.5;24.7
03/01/2018-17:20;25.5;30.6;72.2;24.3
03/01/2018-17:30;25.7;30.9;70.6;24.6
03/01/2018-17:40;25.0;28.5;71.8;23.9
03/01/2018-17:50;22.1;39.3;81.4;21.0
03/01/2018-18:00;20.5;26.7;86.5;19.3
03/01/2018-18:10;20.6;24.3;87.2;19.4
03/01/2018-18:20;21.0;21.8;87.5;19.9
03/01/2018-18:30;21.8;24.3;86.0;20.6
03/01/2018-18:40;22.0;22.0;85.6;20.9
03/01/2018-18:50;22.1;23.6;85.2;20.9
03/01/2018-19:00;22.4;22.1;84.0;21.3
03/01/2018-19:10;22.4;24.9;83.0;21.2
03/01/2018-19:20;22.1;23.4;84.1;21.0
03/01/2018-19:30;22.1;20.1;85.0;21.0
03/01/2018-19:40;22.3;17.9;83.5;21.1
03/01/2018-19:50;22.0;12.7;84.6;20.9
03/01/2018-20:00;21.7;17.0;85.6;20.6
03/01/2018-20:10;21.5;12.7;86.4;20.4
03/01/2018-20:20;21.2;11.6;87.0;20.0
03/01/2018-20:30;21.0;15.9;87.5;19.8
03/01/2018-20:40;21.0;17.0;87.8;19.8
03/01/2018-20:50;21.2;19.8;87.9;20.0
03/01/2018-21:00;21.2;19.9;88.0;20.1
03/01/2018-21:10;21.3;16.5;88.0;20.1
03/01/2018-21:20;21.1;10.5;87.8;19.9
03/01/2018-21:30;20.9;13.3;87.9;19.7
03/01/2018-21:40;20.8;11.6;88.0;19.6
03/01/2018-21:50;20.8;12.9;88.1;19.6
03/01/2018-22:00;20.6;16.1;87.8;19.5
03/01/2018-22:10;20.9;23.8;87.2;19.7
03/01/2018-22:20;21.1;28.2;85.4;20.0
03/01/2018-22:30;21.2;31.4;84.8;20.0
03/01/2018-22:40;21.2;35.4;84.2;20.1
03/01/2018-22:50;21.2;34.7;83.9;20.0
03/01/2018-23:00;21.1;35.3;84.0;19.9
03/01/2018-23:10;20.9;32.7;84.1;19.8
03/01/2018-23:20;20.9;34.9;84.0;19.7
03/01/2018-23:30;20.9;36.2;83.8;19.7
03/01/2018-23:40;20.8;32.9;83.6;19.6
03/01/2018-23:50;20.7;35.7;83.2;19.5
04/01/2018-00:00;20.7;36.0;82.8;19.5
04/01/2018-00:10;20.7;36.2;82.1;19.5
04/01/2018-00:20;20.6;40.8;81.9;19.4
04/01/2018-00:30;20.6;42.3;81.2;19.4
04/01/2018-00:40;20.6;37.9;81.0;19.4
04/01/2018-00:50;20.5;31.3;81.2;19.3
04/01/2018-01:00;20.3;26.9;82.1;19.1
04/01/2018-01:10;20.3;28.7;82.1;19.1
04/01/2018-01:20;20.3;26.7;82.4;19.1
04/01/2018-01:30;20.2;19.2;82.9;18.9
04/01/2018-01:40;20.0;22.8;83.4;18.8
04/01/2018-01:50;20.0;26.3;83.5;18.7
04/01/2018-02:00;20.1;28.7;82.9;18.9
04/01/2018-02:10;20.0;24.6;83.3;18.8
04/01/2018-02:20;20.0;22.3;83.4;18.7
04/01/2018-02:30;20.0;22.9;83.3;18.7
04/01/2018-02:40;19.9;17.4;83.4;18.7
04/01/2018-02:50;19.9;17.7;83.5;18.6
04/01/2018-03:00;19.8;17.0;84.0;18.5
04/01/2018-03:10;19.7;22.8;84.0;18.4
04/01/2018-03:20;19.5;27.2;84.2;18.3
04/01/2018-03:30;19.6;32.9;83.6;18.4
04/01/2018-03:40;19.7;38.0;82.8;18.5
04/01/2018-03:50;19.6;37.9;83.0;18.4
04/01/2018-04:00;19.6;37.8;83.3;18.3
04/01/2018-04:10;19.6;38.8;83.1;18.3
04/01/2018-04:20;19.4;37.7;83.4;18.2
04/01/2018-04:30;19.4;33.4;83.4;18.1
04/01/2018-04:40;19.3;33.4;83.3;18.0
04/01/2018-04:50;19.2;33.1;83.3;17.9
04/01/2018-05:00;19.1;33.9;83.5;17.9
04/01/2018-05:10;19.2;37.6;82.9;17.9
04/01/2018-05:20;19.1;39.8;82.2;17.8
04/01/2018-05:30;19.0;34.6;82.5;17.7
04/01/2018-05:40;18.8;29.7;83.1;17.5
04/01/2018-05:50;18.9;28.9;82.6;17.5
04/01/2018-06:00;18.8;27.8;82.1;17.5
04/01/2018-06:10;18.7;25.6;81.9;17.4
04/01/2018-06:20;18.7;27.3;81.7;17.3
04/01/2018-06:30;18.7;26.5;81.0;17.4
04/01/2018-06:40;18.7;26.9;80.6;17.4
04/01/2018-06:50;18.7;21.2;80.8;17.3
04/01/2018-07:00;18.7;28.1;80.5;17.3
04/01/2018-07:10;19.1;31.0;78.9;17.8
04/01/2018-07:20;19.5;33.2;77.7;18.2
04/01/2018-07:30;19.8;29.7;76.9;18.6
04/01/2018-07:40;20.2;33.7;75.0;18.9
04/01/2018-07:50;20.5;34.6;73.4;19.3
04/01/2018-08:00;20.9;29.4;72.7;19.7
04/01/2018-08:10;21.0;27.8;71.6;19.8
04/01/2018-08:20;21.7;26.0;68.5;20.5
04/01/2018-08:30;22.3;25.6;65.7;21.1
04/01/2018-08:40;22.6;26.2;62.8;21.4
04/01/2018-08:50;23.1;24.4;60.1;21.9
04/01/2018-09:00;23.4;23.3;57.7;22.3
04/01/2018-09:10;24.1;19.6;54.5;23.0
04/01/2018-09:20;24.5;21.1;51.1;23.4
04/01/2018-09:30;24.8;27.0;45.5;23.7
04/01/2018-09:40;24.9;30.0;45.6;23.8
04/01/2018-09:50;25.6;24.5;43.0;24.4
04/01/2018-10:00;25.5;33.2;40.8;24.3
04/01/2018-10:10;25.8;31.7;40.3;24.6
04/01/2018-10:20;26.1;33.6;37.5;24.9
04/01/2018-10:30;26.6;23.2;39.5;25.4
04/01/2018-10:40;26.8;29.3;36.0;25.6
04/01/2018-10:50;27.2;29.0;37.5;25.9
04/01/2018-11:00;27.2;33.7;36.5;25.9
04/01/2018-11:10;27.4;31.7;35.3;26.1
04/01/2018-11:20;27.7;32.1;34.8;26.4
04/01/2018-11:30;28.0;32.7;34.4;26.6
04/01/2018-11:40;28.1;33.0;34.5;26.8
04/01/2018-11:50;28.2;30.9;34.0;26.8
04/01/2018-12:00;28.3;30.3;36.0;27.0
04/01/2018-12:10;28.5;35.0;34.9;27.1
04/01/2018-12:20;28.2;34.9;34.4;26.9
04/01/2018-12:30;28.5;30.1;34.1;27.1
04/01/2018-12:40;28.5;34.1;34.6;27.1
04/01/2018-12:50;28.9;33.2;34.6;27.5
04/01/2018-13:00;29.0;25.4;34.0;27.6
04/01/2018-13:10;29.2;31.2;33.2;27.8
04/01/2018-13:20;29.1;30.6;32.8;27.7
04/01/2018-13:30;29.4;24.2;32.7;27.9
04/01/2018-13:40;29.7;27.1;34.0;28.2
04/01/2018-13:50;29.7;31.7;32.8;28.2
04/01/2018-14:00;29.5;35.9;31.9;28.0
04/01/2018-14:10;29.6;32.9;31.5;28.2
